"id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_pct,fetched_at"
"bitcoin,btc,Bitcoin,116080.0,2312744333622,27525974100.0,116191.0,115304.0,0.0685,20250914T022720Z"
"ethereum,eth,Ethereum,4687.29,565675006087,29363810919.0,4762.74,4614.47,-0.46003,20250914T022720Z"
"ripple,xrp,XRP,3.12,186231135916,4979629469.0,3.18,3.09,0.64212,20250914T022720Z"
"tether,usdt,Tether,1.001,170316659727,83401843333.0,1.001,1.0,0.00193,20250914T022720Z"
"solana,sol,Solana,246.83,133882270587,7778905767.0,246.99,236.81,1.78824,20250914T022720Z"
"binancecoin,bnb,BNB,937.36,130466471595,1619174528.0,942.46,923.88,0.92527,20250914T022720Z"
"usd-coin,usdc,USDC,0.999742,73171230459,12804804172.0,0.999827,0.99965,-0.00216,20250914T022720Z"
"dogecoin,doge,Dogecoin,0.292897,44224506652,8928215602.0,0.30433,0.278145,5.21139,20250914T022720Z"
"staked-ether,steth,Lido Staked Ether,4675.5,40273779269,61725060.0,4749.78,4605.25,-0.51708,20250914T022720Z"
"cardano,ada,Cardano,0.928274,33880435532,2226317980.0,0.95164,0.915271,0.08525,20250914T022720Z"
"tron,trx,TRON,0.351087,33234386895,674412708.0,0.354627,0.34823,-0.27678,20250914T022720Z"
"wrapped-steth,wsteth,Wrapped stETH,5674.22,17681025402,56482753.0,5769.04,5593.72,-0.50544,20250914T022720Z"
"chainlink,link,Chainlink,24.96,16934688908,1004670452.0,25.57,24.56,-0.28827,20250914T022720Z"
"wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,5053.42,15990645689,22209227.0,5136.93,4975.33,-0.4753,20250914T022720Z"
"hyperliquid,hype,Hyperliquid,55.16,14950491304,535559880.0,56.69,54.31,-0.79755,20250914T022720Z"
"wrapped-bitcoin,wbtc,Wrapped Bitcoin,116069.0,14769582157,123593549.0,116167.0,115343.0,0.18908,20250914T022720Z"
"sui,sui,Sui,3.8,13551301698,1545514775.0,3.87,3.72,1.84163,20250914T022720Z"
"ethena-usde,usde,Ethena USDe,1.002,13453634678,261474823.0,1.003,0.999927,-0.0053,20250914T022720Z"
"stellar,xlm,Stellar,0.403878,12848866199,240079486.0,0.413806,0.398825,0.00349,20250914T022720Z"
"avalanche-2,avax,Avalanche,30.13,12718196531,1463345128.0,31.15,28.94,4.11337,20250914T022720Z"
"wrapped-eeth,weeth,Wrapped eETH,5032.83,12592105824,21779376.0,5113.83,4954.86,-0.58156,20250914T022720Z"
"figure-heloc,figr_heloc,Figure Heloc,1.0,12381349390,539696.0,1.03,1.0,-1.07971,20250914T022720Z"
"bitcoin-cash,bch,Bitcoin Cash,595.4,11868914049,332222506.0,605.36,592.28,-0.16422,20250914T022720Z"
"weth,weth,WETH,4685.37,11205877911,325489235.0,4762.72,4617.17,-0.60331,20250914T022720Z"
"hedera-hashgraph,hbar,Hedera,0.247451,10475558819,262194073.0,0.254427,0.244479,0.83555,20250914T022720Z"
"litecoin,ltc,Litecoin,118.65,9059283300,759280468.0,120.68,117.56,0.591,20250914T022720Z"
"leo-token,leo,LEO Token,9.58,8845943247,732892.0,9.66,9.56,-0.42445,20250914T022720Z"
"shiba-inu,shib,Shiba Inu,1.423e-05,8376647726,550882859.0,1.477e-05,1.394e-05,1.74377,20250914T022720Z"
"crypto-com-chain,cro,Cronos,0.247999,8342250399,50310678.0,0.255365,0.245958,-1.61404,20250914T022720Z"
"the-open-network,ton,Toncoin,3.24,8335935701,158443367.0,3.27,3.2,0.26686,20250914T022720Z"
"usds,usds,USDS,0.999489,7938871411,6711387.0,0.999919,0.999184,-0.00807,20250914T022720Z"
"polkadot,dot,Polkadot,4.48,6819071735,484238565.0,4.61,4.32,3.59453,20250914T022720Z"
"binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.0,6786613023,2647036862.0,1.001,1.0,-0.00051,20250914T022720Z"
"coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,116075.0,6656447961,274457283.0,116215.0,115318.0,0.10958,20250914T022720Z"
"whitebit,wbt,WhiteBIT Coin,44.35,6391049109,25168234.0,44.49,43.9,-0.00021,20250914T022720Z"
"uniswap,uni,Uniswap,10.1,6064249044,329036721.0,10.34,9.97,-0.73902,20250914T022720Z"
"world-liberty-financial,wlfi,World Liberty Financial,0.221362,6034077366,608769473.0,0.229373,0.204011,8.50451,20250914T022720Z"
"ethena-staked-usde,susde,Ethena Staked USDe,1.2,5932344828,9405365.0,1.2,1.2,-0.00173,20250914T022720Z"
"monero,xmr,Monero,288.33,5318218567,69890551.0,289.76,284.24,1.3064,20250914T022720Z"
"mantle,mnt,Mantle,1.63,5290357121,416985215.0,1.76,1.62,-5.76653,20250914T022720Z"
"ethena,ena,Ethena,0.757608,5220513430,487870962.0,0.777047,0.751094,-1.79907,20250914T022720Z"
"pepe,pepe,Pepe,1.195e-05,5025705983,1564083313.0,1.256e-05,1.168e-05,-0.23444,20250914T022720Z"
"aave,aave,Aave,314.6,4791117280,343115578.0,321.0,310.93,-1.24798,20250914T022720Z"
"bitget-token,bgb,Bitget Token,5.04,4630466377,251035340.0,5.09,4.94,2.01551,20250914T022720Z"
"dai,dai,Dai,0.999237,4577211748,89668921.0,1.001,0.999007,-0.078,20250914T022720Z"
"okb,okb,OKB,200.6,4216546116,211745248.0,207.31,197.57,1.06508,20250914T022720Z"
"memecore,m,MemeCore,2.43,4073886738,37475503.0,2.48,2.2,10.40669,20250914T022720Z"
"jito-staked-sol,jitosol,Jito Staked SOL,303.46,3708692072,37491145.0,303.67,291.15,1.80165,20250914T022720Z"
"near,near,NEAR Protocol,2.81,3505291418,196760460.0,2.89,2.77,0.62066,20250914T022720Z"
"bittensor,tao,Bittensor,359.32,3448616370,73776168.0,369.44,354.66,-0.0507,20250914T022720Z"
"ondo-finance,ondo,Ondo,1.081,3418413310,217570273.0,1.12,1.07,-1.04026,20250914T022720Z"
"ethereum-classic,etc,Ethereum Classic,21.98,3374287696,148155830.0,22.45,21.75,-0.10692,20250914T022720Z"
"worldcoin-wld,wld,Worldcoin,1.62,3268054018,466403103.0,1.68,1.59,-1.81314,20250914T022720Z"
"aptos,apt,Aptos,4.64,3251154358,557677860.0,4.74,4.6,0.46171,20250914T022720Z"
"story-2,ip,Story,9.69,3024237121,46581114.0,9.92,9.56,0.33689,20250914T022720Z"
"pi-network,pi,Pi Network,0.371408,3006577932,67638050.0,0.376229,0.362475,1.21544,20250914T022720Z"
"binance-staked-sol,bnsol,Binance Staked SOL,264.97,2978332581,10722896.0,265.15,253.74,1.99805,20250914T022720Z"
"polygon-ecosystem-token,pol,POL (ex-MATIC),0.283411,2972056180,174350383.0,0.287276,0.274723,3.11969,20250914T022720Z"
"arbitrum,arb,Arbitrum,0.540941,2863751661,327406400.0,0.557213,0.531688,-0.50946,20250914T022720Z"
"usdt0,usdt0,USDT0,1.0,2859897533,329873940.0,1.003,0.999213,0.09206,20250914T022720Z"
"binance-peg-weth,weth,Binance-Peg WETH,4690.05,2837266257,56868191.0,4764.94,4614.87,-0.36136,20250914T022720Z"
"pump-fun,pump,Pump.fun,0.00789332,2756368605,959398767.0,0.00789144,0.00622982,22.17839,20250914T022720Z"
"internet-computer,icp,Internet Computer,5.03,2708404832,62745975.0,5.16,4.97,0.97286,20250914T022720Z"
"usd1-wlfi,usd1,USD1,0.999762,2637862658,246941217.0,1.0,0.999322,-0.02543,20250914T022720Z"
"kaspa,kas,Kaspa,0.089268,2352996223,45791413.0,0.090895,0.087546,1.01403,20250914T022720Z"
"pudgy-penguins,pengu,Pudgy Penguins,0.03625626,2279055316,450475339.0,0.03761264,0.0354786,-1.23739,20250914T022720Z"
"cosmos,atom,Cosmos Hub,4.82,2255860952,130075561.0,4.88,4.75,1.3521,20250914T022720Z"
"jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,5.92,2234805988,43052615.0,5.92,5.8,0.87705,20250914T022720Z"
"blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2209200082,0.0,1.0,1.0,0.0,20250914T022720Z"
"algorand,algo,Algorand,0.251884,2204235787,88116938.0,0.259814,0.247911,1.34755,20250914T022720Z"
"vechain,vet,VeChain,0.02549734,2192332703,54022349.0,0.02593417,0.02520577,0.79622,20250914T022720Z"
"kinetic-staked-hype,khype,Kinetiq Staked HYPE,55.44,2189554656,44238395.0,56.88,54.47,-0.45208,20250914T022720Z"
"rocket-pool-eth,reth,Rocket Pool ETH,5360.36,2119985295,8565809.0,5449.18,5281.63,-0.54158,20250914T022720Z"
"myx-finance,myx,MYX Finance,11.04,2109581748,273825251.0,14.75,10.88,-20.89208,20250914T022720Z"
"render-token,render,Render,4.04,2093734741,73698052.0,4.13,3.97,0.98448,20250914T022720Z"
"gatechain-token,gt,Gate,17.26,2061752647,16788173.0,17.48,17.21,-0.63102,20250914T022720Z"
"sei-network,sei,Sei,0.341865,2053314427,204986123.0,0.356762,0.338174,-0.24634,20250914T022720Z"
"kucoin-shares,kcs,KuCoin,16.07,2045874556,7955593.0,16.09,15.3,4.97101,20250914T022720Z"
"kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,4926.1,2043426797,886056.0,5008.28,4853.52,-0.64472,20250914T022720Z"
"susds,susds,sUSDS,1.066,2012605012,11027813.0,1.085,1.056,-0.87185,20250914T022720Z"
"bonk,bonk,Bonk,2.584e-05,2001272499,587037477.0,2.727e-05,2.538e-05,-1.28151,20250914T022720Z"
"fasttoken,ftn,Fasttoken,4.49,1938609890,59799258.0,4.5,4.47,-0.17539,20250914T022720Z"
"hash-2,hash,Provenance Blockchain,0.03855473,1889812189,35728.0,0.03965554,0.03263622,-0.94136,20250914T022720Z"
"official-trump,trump,Official Trump,9.17,1834617614,590887104.0,9.46,9.02,1.58099,20250914T022720Z"
"usdtb,usdtb,USDtb,0.999445,1818341536,2490820.0,1.001,0.998187,-0.03093,20250914T022720Z"
"filecoin,fil,Filecoin,2.62,1802044181,172869636.0,2.65,2.57,1.79213,20250914T022720Z"
"fetch-ai,fet,Artificial Superintelligence Alliance,0.685216,1784744289,74321448.0,0.697771,0.676403,0.75022,20250914T022720Z"
"sky,sky,Sky,0.075951,1776860840,20458370.0,0.077672,0.073274,3.05039,20250914T022720Z"
"stakewise-v3-oseth,oseth,StakeWise Staked ETH,4929.65,1770917812,873651.0,5011.6,4859.84,-0.6406,20250914T022720Z"
"falcon-finance,usdf,Falcon USD,1.0,1758916672,27844455.0,1.002,0.997926,0.14772,20250914T022720Z"
"jupiter-exchange-solana,jup,Jupiter,0.551391,1714693467,66525894.0,0.561019,0.537037,-1.15927,20250914T022720Z"
