"id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,fetched_at"
"bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,116080.0,2312744333622,1,2312744333622.0,27525974100.0,116191.0,115304.0,79.46,0.0685,1649696854.0,0.07138,19920509.0,19920509.0,21000000.0,124128.0,-6.47928,2025-08-14T00:37:02.582Z,67.81,171094.73179,2013-07-06T00:00:00.000Z,,2025-09-14T02:26:01.290Z,20250914T022720Z"
"ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,4687.29,565675006087,2,565675006087.0,29363810919.0,4762.74,4614.47,-21.66246988090461,-0.46003,-2725497892.376953,-0.4795,120704668.9243333,120704668.9243333,,4946.05,-5.24845,2025-08-24T19:21:03.333Z,0.432979,1082275.61845,2015-10-20T00:00:00.000Z,""{'times': 52.98500241184198, 'currency': 'btc', 'percentage': 5298.500241184198}"",2025-09-14T02:26:00.891Z,20250914T022720Z"
"ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,3.12,186231135916,3,312370515277.0,4979629469.0,3.18,3.09,0.01993797,0.64212,1135355810.0,0.61339,59610205486.0,99985808022.0,100000000000.0,3.65,-14.39836,2025-07-18T03:40:53.808Z,0.00268621,116099.52541,2014-05-22T00:00:00.000Z,,2025-09-14T02:26:02.427Z,20250914T022720Z"
"tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.001,170316659727,4,170316659727.0,83401843333.0,1.001,1.0,1.93e-05,0.00193,694135940.0,0.40922,170225499954.0875,170225499954.0875,,1.32,-24.37872,2018-07-24T00:00:00.000Z,0.572521,74.76068,2015-03-02T00:00:00.000Z,,2025-09-14T02:26:02.909Z,20250914T022720Z"
"solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,246.83,133882270587,5,150459429531.0,7778905767.0,246.99,236.81,4.34,1.78824,2408455521.0,1.83189,542444956.8847167,609609908.8150507,,293.31,-15.85542,2025-01-19T11:15:27.957Z,0.500801,49182.25632,2020-05-11T19:35:23.449Z,,2025-09-14T02:26:02.352Z,20250914T022720Z"
"binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,937.36,130466471595,6,130466471595.0,1619174528.0,942.46,923.88,8.59,0.92527,1145088184.0,0.88546,139187084.05,139187084.05,200000000.0,942.46,-0.56089,2025-09-13T10:33:11.608Z,0.0398177,2353566.7011,2017-10-19T00:00:00.000Z,,2025-09-14T02:26:03.294Z,20250914T022720Z"
"usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999742,73171230459,7,73171076992.0,12804804172.0,0.999827,0.99965,-2.158074822145e-05,-0.00216,172960863.0,0.23694,73185021080.21838,73184867584.80675,,1.17,-14.74321,2019-05-08T00:40:28.300Z,0.877647,13.91961,2023-03-11T08:02:13.981Z,,2025-09-14T02:26:04.081Z,20250914T022720Z"
"dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.292897,44224506652,8,44226464052.0,8928215602.0,0.30433,0.278145,0.01450795,5.21139,2222528266.0,5.29148,150924576383.7052,150931256383.7052,,0.731578,-59.98436,2021-05-08T05:08:23.458Z,8.69e-05,336761.948,2015-05-06T00:00:00.000Z,,2025-09-14T02:26:02.325Z,20250914T022720Z"
"staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,4675.5,40273779269,9,40273779269.0,61725060.0,4749.78,4605.25,-24.301524972357583,-0.51708,-255268171.22213745,-0.62984,8612400.495487507,8612400.495487507,,4932.89,-5.2027,2025-08-24T19:21:31.902Z,482.9,868.37577,2020-12-22T04:08:21.854Z,,2025-09-14T02:26:02.143Z,20250914T022720Z"
"cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.928274,33880435532,10,41759816411.0,2226317980.0,0.95164,0.915271,0.0007907,0.08525,24439331.0,0.07219,36509250518.60805,45000000000.0,45000000000.0,3.09,-69.95215,2021-09-02T06:00:10.474Z,0.01925275,4717.75545,2020-03-13T02:22:55.044Z,,2025-09-14T02:26:02.355Z,20250914T022720Z"
"tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.351087,33234386895,11,33234591082.0,674412708.0,0.354627,0.34823,-0.0009744425506657,-0.27678,-107120201.27978134,-0.32128,94663515899.85591,94664097497.69481,,0.431288,-18.59365,2024-12-04T00:10:40.323Z,0.00180434,19358.4052,2017-11-12T00:00:00.000Z,""{'times': 183.78255208490305, 'currency': 'usd', 'percentage': 18378.255208490304}"",2025-09-14T02:26:03.184Z,20250914T022720Z"
"wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,5674.22,17681025402,12,17681025402.0,56482753.0,5769.04,5593.72,-28.825612893736434,-0.50544,-73353272.44379425,-0.41316,3114611.843909831,3114611.843909831,,7256.02,-21.76311,2022-05-13T15:09:54.509Z,558.54,916.37907,2022-05-13T01:36:45.053Z,,2025-09-14T02:26:02.686Z,20250914T022720Z"
"chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,24.96,16934688908,13,24973734915.0,1004670452.0,25.57,24.56,-0.07214997116269117,-0.28827,-54334305.04504204,-0.31982,678099970.4527868,1000000000.0,1000000000.0,52.7,-52.60168,2021-05-10T00:13:57.214Z,0.148183,16755.69237,2017-11-29T00:00:00.000Z,,2025-09-14T02:26:03.026Z,20250914T022720Z"
"wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,5053.42,15990645689,14,15990645689.0,22209227.0,5136.93,4975.33,-24.133660884951496,-0.4753,-75661239.91735649,-0.47093,3164193.458620302,3164193.458620302,,5330.78,-5.19917,2025-08-24T19:27:46.809Z,1501.6,236.54906,2025-04-09T03:57:40.245Z,,2025-09-14T02:26:02.129Z,20250914T022720Z"
"hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,55.16,14950491304,15,55205015457.0,535559880.0,56.69,54.31,-0.4434362741246929,-0.79755,-104849131.57524109,-0.69642,270772999.4341414,999835210.4341414,1000000000.0,57.3,-4.06142,2025-09-12T05:50:26.051Z,3.81,1343.425,2024-11-29T09:30:30.871Z,,2025-09-14T02:26:02.221Z,20250914T022720Z"
"wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,116069.0,14769582157,16,14769582157.0,123593549.0,116167.0,115343.0,219.05,0.18908,28827361.0,0.19556,127237.25872278,127237.25872278,127237.25872278,123882.0,-6.29909,2025-08-14T00:40:53.782Z,3139.17,3597.73006,2019-04-02T00:00:00.000Z,,2025-09-14T02:26:03.364Z,20250914T022720Z"
"sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,3.8,13551301698,17,37971233219.0,1545514775.0,3.87,3.72,0.068659,1.84163,257909258.0,1.94013,3568833706.322776,10000000000.0,10000000000.0,5.35,-28.98017,2025-01-04T22:56:18.063Z,0.364846,940.74598,2023-10-19T10:40:30.078Z,,2025-09-14T02:26:03.259Z,20250914T022720Z"
"ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,1.002,13453634678,18,13453634678.0,261474823.0,1.003,0.999927,-5.3137428317473e-05,-0.0053,123575942.0,0.92705,13434325041.99442,13434325041.99442,,1.032,-2.95325,2023-12-20T15:38:34.596Z,0.929486,7.75871,2024-10-04T07:57:15.809Z,,2025-09-14T02:26:02.155Z,20250914T022720Z"
"stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.403878,12848866199,19,20188934217.0,240079486.0,0.413806,0.398825,1.411e-05,0.00349,5487634.0,0.04273,31822693686.52448,50001786886.69552,50001786886.69552,0.875563,-53.91355,2018-01-03T00:00:00.000Z,0.00047612,84650.28806,2015-03-05T00:00:00.000Z,,2025-09-14T02:26:02.530Z,20250914T022720Z"
"avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,30.13,12718196531,20,13796499258.0,1463345128.0,31.15,28.94,1.19,4.11337,497607338.0,4.07188,422276596.0335201,458078999.632708,720000000.0,144.96,-79.22236,2021-11-21T14:18:56.538Z,2.8,975.28815,2020-12-31T13:15:21.540Z,,2025-09-14T02:26:03.508Z,20250914T022720Z"
"wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,5032.83,12592105824,21,12592105824.0,21779376.0,5113.83,4954.86,-29.440332609164216,-0.58156,-128991696.86792946,-1.014,2500615.893623676,2500615.893623676,,5296.78,-4.98127,2025-08-24T19:25:19.771Z,1505.24,234.36194,2025-04-09T03:45:31.391Z,,2025-09-14T02:26:02.066Z,20250914T022720Z"
"figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.0,12381349390,22,12381349390.0,539696.0,1.03,1.0,-0.01091489999999995,-1.07971,-135141190.45262146,-1.07971,12381349389.607,12381349389.607,,1.056,-5.32974,2025-08-30T12:40:04.527Z,0.883674,13.16392,2025-09-06T20:28:04.023Z,,2025-09-14T02:26:02.068Z,20250914T022720Z"
"bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,595.4,11868914049,23,11868914049.0,332222506.0,605.36,592.28,-0.9793812618835318,-0.16422,6164689.0,0.05197,19925121.77165078,19925121.77165078,21000000.0,3785.82,-84.25055,2017-12-20T00:00:00.000Z,76.93,675.00138,2018-12-16T00:00:00.000Z,,2025-09-14T02:26:02.756Z,20250914T022720Z"
"weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,4685.37,11205877911,24,11205877911.0,325489235.0,4762.72,4617.17,-28.438648476653725,-0.60331,-3523514.383901596,-0.03143,2390395.860723144,2390395.860723144,,4950.08,-5.29463,2025-08-24T19:28:11.411Z,82.1,5609.85879,2018-12-15T00:00:00.000Z,,2025-09-14T02:26:02.857Z,20250914T022720Z"
"hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.247451,10475558819,25,12355314274.0,262194073.0,0.254427,0.244479,0.00205043,0.83555,71809149.0,0.69022,42392927395.18331,50000000000.0,50000000000.0,0.569229,-56.5893,2021-09-15T10:40:28.318Z,0.00986111,2405.86673,2020-01-02T17:30:24.852Z,,2025-09-14T02:26:02.576Z,20250914T022720Z"
"litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,118.65,9059283300,26,9059701128.0,759280468.0,120.68,117.56,0.69712,0.591,66390404.0,0.73825,76292939.48347135,76296458.23347135,84000000.0,410.26,-71.06683,2021-05-10T03:13:07.904Z,1.15,10232.24152,2015-01-14T00:00:00.000Z,,2025-09-14T02:26:02.820Z,20250914T022720Z"
"leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.58,8845943247,27,9442010000.0,732892.0,9.66,9.56,-0.04084644946699001,-0.42445,-36444815.24681282,-0.4103,923042099.9,985239504.0,,10.14,-5.44287,2025-03-10T09:26:43.294Z,0.799859,1098.14442,2019-12-24T15:14:35.376Z,,2025-09-14T02:26:02.910Z,20250914T022720Z"
"shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.423e-05,8376647726,28,8380273297.0,550882859.0,1.477e-05,1.394e-05,2.43804e-07,1.74377,138305562.0,1.6788,589245891833908.8,589500928554393.1,,8.616e-05,-83.50043,2021-10-28T03:54:55.568Z,5.6366e-11,25220304.4568,2020-11-28T11:26:25.838Z,,2025-09-14T02:26:02.977Z,20250914T022720Z"
"crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.247999,8342250399,29,24307980120.0,50310678.0,0.255365,0.245958,-0.004068465720930559,-1.61404,-138622005.03067398,-1.63453,33632185302.15401,97998795605.40782,100000000000.0,0.965407,-74.30371,2021-11-24T15:53:54.855Z,0.0121196,1946.88164,2019-02-08T00:00:00.000Z,,2025-09-14T02:26:02.165Z,20250914T022720Z"
"the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,3.24,8335935701,30,16680258081.0,158443367.0,3.27,3.2,0.00863399,0.26686,22716734.0,0.27326,2568938479.337778,5140461535.13837,,8.25,-60.68515,2024-06-15T00:36:51.509Z,0.519364,524.78224,2021-09-21T00:33:11.092Z,,2025-09-14T02:26:02.346Z,20250914T022720Z"
"usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999489,7938871411,31,7938871411.0,6711387.0,0.999919,0.999184,-8.0652006325788e-05,-0.00807,-65127459.35057163,-0.81369,7941209395.444169,7941209395.444169,,1.057,-5.46024,2024-10-29T05:40:51.197Z,0.948265,5.41249,2024-10-03T13:19:28.826Z,,2025-09-14T02:26:02.309Z,20250914T022720Z"
"polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.48,6819071735,32,6819071735.0,484238565.0,4.61,4.32,0.155446,3.59453,241555130.0,3.67244,1522267060.0,1522267060.0,,54.98,-91.85363,2021-11-04T14:10:09.301Z,2.7,66.04354,2020-08-20T05:48:11.359Z,,2025-09-14T02:26:02.285Z,20250914T022720Z"
"binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,1.0,6786613023,33,6786613023.0,2647036862.0,1.001,1.0,-5.130936952646e-06,-0.00051,-1200020.9936599731,-0.01768,6784993599.453935,6784993599.453935,,1.05,-4.69548,2024-08-05T14:21:42.527Z,0.942186,6.20625,2024-12-05T22:30:39.827Z,,2025-09-14T02:26:03.567Z,20250914T022720Z"
"coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,116075.0,6656447961,34,6656447961.0,274457283.0,116215.0,115318.0,127.06,0.10958,-249225528.41327477,-3.609,57343.52647233,57343.52647233,,123939.0,-6.39384,2025-08-14T00:40:22.976Z,57439.0,101.97981,2024-09-12T14:07:41.775Z,,2025-09-14T02:26:02.512Z,20250914T022720Z"
"whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,44.35,6391049109,35,14290473822.0,25168234.0,44.49,43.9,-9.4311536280145e-05,-0.00021,243777.0,0.00381,144118517.10815412,322250989.0,400000000.0,52.27,-15.15762,2025-06-16T09:30:18.527Z,3.06,1348.40652,2023-02-13T19:01:21.899Z,,2025-09-14T02:26:02.376Z,20250914T022720Z"
"uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,10.1,6064249044,36,10098950844.0,329036721.0,10.34,9.97,-0.07519408414435524,-0.73902,-45138368.00325012,-0.73884,600483073.71,1000000000.0,1000000000.0,44.92,-77.51965,2021-05-03T05:25:04.822Z,1.03,880.2003,2020-09-17T01:20:38.214Z,,2025-09-14T02:26:02.759Z,20250914T022720Z"
"world-liberty-financial,wlfi,World Liberty Financial,https://coin-images.coingecko.com/coins/images/50767/large/wlfi.png?1756438915,0.221362,6034077366,37,22127536735.0,608769473.0,0.229373,0.204011,0.01735017,8.50451,468609421.0,8.41995,27269539482.200726,100000000000.0,100000000000.0,0.331336,-33.02856,2025-09-01T12:20:09.597Z,0.164016,35.29176,2025-09-04T14:17:54.961Z,,2025-09-14T02:26:03.608Z,20250914T022720Z"
